# The sample/feature can be clustered into 3 clusters:
Cluster_0:	P31946	P62258	Q04917	P61981	P31947	P27348	P63104	Q9JJU8	
Cluster_1:	P30443	P01892	P04439	Q9JLI6	Q9JJZ4	
Cluster_2:	Q9JLI0	Q9JLJ2	Q9JK23	Q9JK38	Q9JKC8	Q9JKW0	Q9JLC3	

==============================================================
Protein/Feature	cluster
P31946	0
P62258	0
Q04917	0
P61981	0
P31947	0
P27348	0
P63104	0
P30443	1
P01892	1
P04439	1
Q9JLI0	2
Q9JLI6	1
Q9JLJ2	2
Q9JJU8	0
Q9JJZ4	1
Q9JK23	2
Q9JK38	2
Q9JKC8	2
Q9JKW0	2
Q9JLC3	2
